GP,absref,relmyo,myolevel,Eye,Region,ROI,Layer,c,K,rho,alpha,Z
9-1,6.33,0,EM,LE,SUP,4.4,3,1731.47875,2.786835568,0.950782293,1.31516E-05,1.606190019
9-1,6.33,0,EM,LE,SUP,4.4,4,1572.424588,2.451349307,0.990923658,3.02279E-06,1.555870717
9-1,0.79,5.54,LM,RE,INF,2,1,1514.979565,2.430041691,1.0297428,7.14027E-06,1.560199327
9-1,0.79,5.54,LM,RE,INF,2,2,1588.252359,2.526313539,0.995990663,9.48803E-06,1.581804948
9-1,0.79,5.54,LM,RE,INF,2,3,1651.766665,2.737589796,1.002153365,9.07238E-06,1.654469062
9-1,0.79,5.54,LM,RE,INF,2,4,1615.693319,2.626282588,1.00147135,7.97467E-06,1.617521708
9-1,0.79,5.54,LM,RE,INF,2.2,1,1506.695311,2.479698632,1.029497975,2.09627E-06,1.563463288
9-1,0.79,5.54,LM,RE,INF,2.2,2,1654.304776,2.706001146,0.984618514,9.00818E-06,1.62612819
9-1,0.79,5.54,LM,RE,INF,2.2,3,1649.494521,2.672861179,0.979877095,8.23738E-06,1.617202767
9-1,0.79,5.54,LM,RE,INF,2.2,4,1613.9177,2.620759894,0.99358764,6.01909E-06,1.605843991
9-1,0.79,5.54,LM,RE,INF,2.4,1,1514.057709,2.432761689,1.028312249,1.99501E-06,1.567450198
9-1,0.79,5.54,LM,RE,INF,2.4,2,1676.271186,2.662972917,0.956257372,8.28945E-06,1.584447168
9-1,0.79,5.54,LM,RE,INF,2.4,3,1740.989197,2.924064988,0.969068297,1.13532E-05,1.678179938
9-1,0.79,5.54,LM,RE,INF,2.4,4,1638.618237,2.602999527,0.968156208,6.69871E-06,1.583867567
9-1,0.79,5.54,LM,RE,INF,2.6,1,1522.210648,2.44463781,1.032490504,1.42462E-06,1.575256465
9-1,0.79,5.54,LM,RE,INF,2.6,2,1717.480338,2.773568774,0.955301616,9.67647E-06,1.609566389
9-1,0.79,5.54,LM,RE,INF,2.6,3,1704.997348,2.841821961,0.979087726,8.4395E-06,1.665372782
9-1,0.79,5.54,LM,RE,INF,2.6,4,1578.151806,2.500507956,0.995139469,4.16267E-06,1.568715525
9-1,0.79,5.54,LM,RE,INF,2,1,1544.3963,2.481782686,1.031461357,1.38036E-05,1.587064692
9-1,0.79,5.54,LM,RE,INF,2,2,1648.994434,2.731672304,1.001548714,1.38962E-05,1.653097448
9-1,0.79,5.54,LM,RE,INF,2,3,1566.966348,2.553148486,1.032899681,9.56675E-06,1.617843183
9-1,0.79,5.54,LM,RE,INF,2,4,1522.338823,2.511621048,1.079388204,8.52605E-06,1.645803774
9-1,0.79,5.54,LM,RE,INF,2,1,1747.426559,2.881950318,0.965700899,1.67365E-05,1.642451034
9-1,0.79,5.54,LM,RE,INF,2,2,1874.0416,3.230184302,0.973472374,1.20314E-05,1.779485454
9-1,0.79,5.54,LM,RE,INF,2,3,1763.997449,2.957821301,0.961013619,9.46826E-06,1.674589658
9-1,0.79,5.54,LM,RE,INF,2,4,1586.685735,2.57937542,1.012421664,4.98287E-06,1.607914427
9-1,0.79,5.54,LM,RE,INF,2.2,1,1555.765415,2.458205161,1.001678867,4.96644E-06,1.548095068
9-1,0.79,5.54,LM,RE,INF,2.2,2,1913.775222,3.158342904,0.95591558,1.51648E-05,1.753336173
9-1,0.79,5.54,LM,RE,INF,2.2,3,1783.372906,2.978071086,0.968661524,8.64517E-06,1.668128705
9-1,0.79,5.54,LM,RE,INF,2.2,4,1603.341304,2.580929306,1.003141339,5.96361E-06,1.600323787
9-2,2.75,3.38,LM,RE,INF,2.1,1,1565.590138,2.570403747,1.03965736,2.25875E-05,1.628941813
9-2,2.75,3.38,LM,RE,INF,2.1,2,1588.519659,2.698266114,1.062065955,1.11404E-05,1.696681951
9-2,2.75,3.38,LM,RE,INF,2.1,3,1515.97199,2.4660119,1.062194568,6.57595E-06,1.618069493
9-2,2.75,3.38,LM,RE,INF,2.1,4,1490.744925,2.439378735,1.093848671,1.18275E-05,1.630543287
9-2,2.75,3.38,LM,RE,SUP,2.3,1,1570.260949,2.473072077,0.997913443,4.55423E-06,1.56941431
9-2,2.75,3.38,LM,RE,SUP,2.3,2,1792.548498,3.044620836,0.974142746,1.32125E-05,1.728670866
9-2,2.75,3.38,LM,RE,SUP,2.3,3,1689.951025,2.707471429,0.955138159,6.82361E-06,1.598362856
9-2,2.75,3.38,LM,RE,SUP,2.3,4,1598.338624,2.507484662,0.977882867,2.45109E-06,1.566923734
