GP,absref,relmyo,myolevel,Eye,Region,ROI,Layer,c,K,rho,alpha,Z
11-3,10.33,0,EM,LE,INF,1.8,2,1750.193725,2.898278852,0.982367018,1.33093E-05,1.655720512
11-3,10.33,0,EM,LE,INF,1.8,3,1658.580868,2.699638099,0.981245376,1.234E-05,1.624306158
11-3,10.33,0,EM,LE,INF,1.8,4,1585.139944,2.489880454,0.989818791,4.79707E-06,1.567046731
11-3,10.33,0,EM,LE,INF,2,1,1583.682948,2.707683571,1.062968549,1.41011E-05,1.657075111
11-3,10.33,0,EM,LE,INF,2,2,1768.04886,2.973937919,0.970202761,1.22556E-05,1.685444988
11-3,10.33,0,EM,LE,INF,2,3,1649.030699,2.671516991,0.981437232,1.14409E-05,1.612033891
11-3,10.33,0,EM,LE,INF,2,4,1561.397728,2.48730765,1.0075436,5.97625E-06,1.574212708
11-3,10.33,0,EM,LE,SUP,2,1,1607.421133,2.543583725,0.995257635,6.55303E-06,1.579881154
11-3,10.33,0,EM,LE,SUP,2,2,1807.909898,3.034378233,0.966095125,1.19293E-05,1.691037968
11-3,10.33,0,EM,LE,SUP,2,3,1601.413051,2.521577215,0.982882594,5.01086E-06,1.569904
11-3,10.33,0,EM,LE,SUP,2,4,1589.193262,2.491265772,0.985883944,4.0597E-06,1.565406652
11-3,10.33,0,EM,LE,SUP,2.2,1,1607.950995,2.547989885,1.007443148,8.25549E-06,1.581947135
11-3,10.33,0,EM,LE,SUP,2.2,2,1745.652111,2.834248602,0.970115442,1.01678E-05,1.624576828
11-3,10.33,0,EM,LE,SUP,2.2,3,1592.922055,2.511921568,0.987760318,5.39129E-06,1.573951645
11-3,10.33,0,EM,LE,SUP,2.2,4,1593.69237,2.50881716,0.986673976,4.9742E-06,1.571515768
11-3,10.33,0,EM,LE,SUP,2.4,1,1634.064831,2.549175191,0.996433933,9.22104E-06,1.551339633
11-3,10.33,0,EM,LE,SUP,2.4,2,1746.652003,2.810517209,0.964284473,9.53349E-06,1.607197781
11-3,10.33,0,EM,LE,SUP,2.4,3,1603.751015,2.511570524,0.97419255,5.12194E-06,1.561983874
11-3,10.33,0,EM,LE,SUP,2.4,4,1618.010494,2.543960172,0.973052365,5.09121E-06,1.570431957
11-3,7.13,3.21,LM,RE,INF,1.8,1,1491.924333,2.524023047,1.075792675,4.90948E-07,1.624820696
11-3,7.13,3.21,LM,RE,INF,1.8,2,1680.434921,2.708196168,1.042305588,7.78024E-06,1.599920793
11-3,7.13,3.21,LM,RE,INF,1.8,3,1784.894535,2.981806533,0.975903639,9.14234E-06,1.673649577
11-3,7.13,3.21,LM,RE,INF,1.8,4,1780.400811,3.102281151,0.984865088,7.54622E-06,1.74425303
11-3,7.13,3.21,LM,RE,INF,2,1,1553.86622,2.527818216,1.049257413,1.03648E-05,1.612558579
11-3,7.13,3.21,LM,RE,INF,2,2,1826.395103,2.90873505,0.970529223,1.2541E-05,1.593734518
11-3,7.13,3.21,LM,RE,INF,2,3,1761.947383,2.941291733,0.963436255,9.22023E-06,1.668823414
11-3,7.13,3.21,LM,RE,INF,2,4,1576.176455,2.553310334,1.017394221,7.94511E-06,1.612692602
11-3,7.13,3.21,LM,RE,INF,2.2,1,1833.696509,3.064039876,1.009093647,1.17217E-05,1.684976914
11-3,7.13,3.21,LM,RE,INF,2.2,2,1809.231102,3.039333458,0.961380775,1.08128E-05,1.681042214
11-3,7.13,3.21,LM,RE,INF,2.2,3,1640.68698,2.705152039,0.999104153,9.26936E-06,1.63160906
