GP,Eye,Region,ROI,Layer,Z,K,alpha,c,rho
11-3,RE,INF,4.2,2,1.728436135,2.896837886,1.95396E-05,1679.316759,1.027748892
11-3,RE,INF,4.2,3,1.639980918,2.578346549,1.61289E-05,1569.893843,1.045768733
11-3,RE,INF,2,1,1.629118739,2.486453615,1.36043E-05,1525.880684,1.075696866
11-3,RE,INF,2,2,1.597587544,2.834599832,1.19632E-05,1775.020331,0.968709882
11-3,RE,INF,2,3,1.67725385,2.781455063,1.34952E-05,1657.568091,1.01773993
11-3,RE,INF,2,4,1.628463086,2.493510241,8.2815E-06,1520.419683,1.070061306
11-3,RE,INF,2.2,1,1.712116767,2.672067123,1.40042E-05,1557.609854,1.078905934
11-3,RE,INF,2.2,2,1.714876373,2.964224053,1.34769E-05,1725.591495,1.005157629
11-3,RE,INF,2.2,3,1.717933203,2.889257228,1.6378E-05,1679.715579,1.023329273
11-3,RE,INF,2.2,4,1.658101798,2.603359823,1.00539E-05,1560.73096,1.062593358
11-3,RE,INF,2.4,1,1.605297032,2.449148005,1.32035E-05,1524.053922,1.054044414
11-3,RE,INF,2.4,2,1.635997115,2.661498539,1.59308E-05,1623.929094,1.020362141
11-3,RE,INF,2.4,3,1.754760361,2.927871363,1.45543E-05,1667.209468,1.053176165
11-3,RE,INF,2.4,4,1.657077488,2.562842443,1.23432E-05,1533.580197,1.079239837
11-3,RE,INF,1.2,1,1.741061828,2.69621393,9.75602E-06,1579.352534,1.099397847
11-3,RE,INF,1.2,2,1.864080356,3.260617361,1.09671E-05,1758.623836,1.060330371
11-3,RE,INF,1.2,3,1.664396179,2.650935462,1.00655E-05,1588.985124,1.044528102
11-3,RE,INF,1.2,4,1.588246851,2.405303629,5.74746E-06,1503.364279,1.051038964
11-3,RE,INF,1.4,1,1.758248512,2.650633549,5.95619E-06,1518.23326,1.125481148
11-3,RE,INF,1.4,2,1.90324041,3.31183931,9.53299E-06,1772.276158,1.073035115
11-3,RE,INF,1.4,3,1.660407898,2.655548596,1.10972E-05,1596.473044,1.039861047
11-3,RE,INF,1.4,4,1.596937468,2.456753933,5.77733E-06,1521.86259,1.047995684
